miniAvatar: none;
changeBg: -next;
: 打开游戏前，你无意间看到了一条这样的资讯：“xxx游戏，代肝代充，价格划算，欢迎私聊。”;
: 根据这条广告，原来在游戏里非常昂贵的道具，在这里都可以花点钱代肝出来，实在超级划算。;
choose: 仔细看看:single-dg-1|立刻下单:single-dg-2|不感兴趣:single-dg-3;
label: single-dg-1;
: 你要仔细看什么？;
choose: 性价比:single-dg-1-1|平台正规性:single-dg-1-2|用户协议:single-dg-1-3|晚饭吃啥:single-dg-1-4;
label: single-dg-1-1;
: 你看过了价目，这款代肝性价比真的高到不可思议，一个在游戏里需要连续肝几个月的道具，在这里只需要 2 块就能买到了。;
{username}: 真的好划算诶;
choose: 果断下单:single-dg-2|再仔细看看:single-dg-1;
label: single-dg-1-2;
: 你去搜了一下，这个交易平台也不是很火。;
: 不过你总觉得你在那里听说过它的名字。;
choose: 去下单:single-dg-2|再仔细看看:single-dg-1|还是算了吧:single-dg-3;
label: single-dg-1-3;
: 你仔细看了看一下用户协议，发现里面完全没有提到保障账号安全的相关内容。反倒是有一句，本平台仅提供玩家与代肝者沟通服务，如遇账号安全问题，概不负责;
: 这时，你该如何决定呢？;
choose: 赌一把，去下单:single-dg-2|再仔细看看:single-dg-1|还是算了吧:single-dg-3;
label: single-dg-1-4;
{username}: 事已至此，先吃饭吧;
changeBg: food.jpg -next;
: 享用着美味的佳肴，什么代肝之类的事，你很快就忘掉了。;
{username}: 哦对了，晚上还有班会来着。;
jumpLabel: single-dg-end;
label: single-dg-2;
: 你决定下单，你付了钱，客服向你要了你的账号和密码。;
{username}: 嘿嘿嘿，我的道具，嘿嘿嘿。;
changeBg: -next;
: ...;
: 一个月过去了，当你再点开你的游戏的时候，你发现你没有得到新的道具。;
: 代肝似乎只是爽玩了你的账号，道具进度进展不到一成。;
: 当你检查你的武器库的时候，你发现一个你之前肝了很久得到的武器被卖掉了。;
: 虽然不是什么严重的经济损失，但那把武器在你心中有着非常重要的地位。;
choose: 悲痛欲绝:single-dg-5|去找平台;
: 当你找到平台的时候，平台很快推卸掉了责任。;
: 用户协议里也有一句：“本平台仅提供玩家与代肝者沟通服务，如遇账号安全问题，概不负责。”;
choose: 悲痛欲绝;
: 开学后的这场被诈事件，为你的大学生活染上了阴影;
: 于是，这场游戏很快结束了。;
label: single-dg-5;
changeScene: BE-not-a-good-game.txt;
label: single-dg-3;
: 尽管表面上很划算，但警惕的你察觉到了猫腻，关掉了这个广告。;
: 于是你欢快地游玩着游戏，直到晚上的班会。;
label: single-dg-end;
: 班会上，你看到下午在班里遇到的两位同学正聊得热烈，你没有去和他们搭话。;
changeScene: single-game2.txt;
